ELE# 1 : 0.2 m
+8.384339e-01 +1.891082e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
-1.570681e+00 +8.384339e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +1.170765e+00 +2.112597e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +1.754665e+00 +1.170765e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +1.931066e-01 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 
ELE# 2 : 0.35 m
+6.028318e-01 +3.148733e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
-1.570681e+00 +8.384339e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +1.433964e+00 +3.868744e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +1.754665e+00 +1.170765e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +3.379366e-01 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 
ELE# 3 : 0.55 m
+3.742761e-01 +5.460087e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
-7.780369e-01 +1.536794e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +1.533207e+00 +5.454999e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -7.899689e-01 +3.711645e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +5.310432e-01 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 
ELE# 4 : 0.7 m
+2.575706e-01 +7.765278e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
