 mc2(MeV) freq(MHz) Z I(mA) npart
    938.272029 0.1761000E+03   1. 0.00000E+00         10
 Sizes, positions are in mm, angles in mrad
 Phases in deg, energies in MeV
 Emittances and halo in mm.mrad or deg.MeV
 Phase advance per meter in deg/mm
 Current is in mA
 Powlost is in W
 H&V dispersion in mm
 ## z(m) gama-1 x0 y0 p0 x'0 y'0 W0 SizeX  SizeY SizeP sxx' syy' spW ex ey ep hx hy hp npart kx ky kz ex99  ey99 ep99 phiS Ws SCCurrent Aper e4D EmitR kr Powlost Xmax Ymax  ezdp SizeZ szdp Hdisp Vdisp Hdisp/dz Vdisp/dz E6D Sxy Sx'y'
    0    -0.0000000 0.1769210E-01 0.2328306E-07 0.1164153E-07 0.8493662E-07 0.7275958E-09 -.9822543E-08 0.1676330E-08 0.2964078E+01 0.1772596E+01 0.1953186E+01 0.3470881E+01 0.6248258E+00 0.0000000E+00 0.2400000E+00 0.2400000E+00 0.5357213E-01 -.3875262E-01 0.3776148E+00 -.3424446E-01         10 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.8668057E+00 0.1054750E+01 0.9625428E+00 0.0000000E+00 0.1676330E-08 0.0000000E+00 0.1000000E+03 0.5760001E-01 0.4167919E+00 0.0000000E+00 0.0000000E+00 0.5221875E+01 0.3452552E+01 0.2700032E+00 0.1714760E+01 -.1981216E+00 0.1403682E-05 0.2662245E-04 -.3602748E-05 0.6105937E-04 0.1555219E-01 0.2131113E-06 0.7453321E-07
    1     0.2000000 0.1769210E-01 -.2918789E-06 -.9068462E-07 0.1392766E-02 -.2954515E-05 -.1076818E-05 0.1676330E-08 0.2708018E+01 0.2155197E+01 0.1936658E+01 -.9910437E+01 0.7703536E+01 0.0000000E+00 0.2411997E+00 0.2397786E+00 0.5357725E-01 -.3726167E-01 0.3786544E+00 -.3443384E-01         10 0.8361507E-02 0.2048828E-01 0.2728062E-01 0.8778582E+00 0.1054880E+01 0.9622739E+00 -.1120349E-07 0.1676330E-08 0.0000000E+00 0.1000000E+03 0.5783443E-01 0.2408766E+01 0.5940290E+00 0.0000000E+00 0.4827399E+01 0.4190935E+01 0.2700290E+00 0.1700249E+01 -.6150087E-01 0.3025679E+00 0.9566276E-01 0.2893852E+01 0.9985646E+00 0.1561663E-01 -.4096077E-05 -.6384149E-04
    2     0.3500000 0.1769210E-01 -.7350561E-06 -.2522074E-06 0.3852020E-02 -.2954515E-05 -.1076818E-05 0.1676330E-08 0.2160226E+01 0.2692806E+01 0.1935887E+01 -.7868130E+01 0.9671998E+01 0.0000000E+00 0.2411997E+00 0.2397786E+00 0.5358349E-01 -.3726167E-01 0.3786544E+00 -.3484134E-01         10 0.1234845E-01 0.1237843E-01 0.2739929E-01 0.8778582E+00 0.1054880E+01 0.9617427E+00 -.1960606E-07 0.1676330E-08 0.0000000E+00 0.1000000E+03 0.5783443E-01 0.2469717E+01 0.6348321E+00 0.0000000E+00 0.3896874E+01 0.5223510E+01 0.2700605E+00 0.1699572E+01 0.4095712E-01 0.7366457E+00 0.2454475E+00 0.2893852E+01 0.9985646E+00 0.1561846E-01 -.1243736E-04 -.6384149E-04
    3     0.5500000 0.1769210E-01 -.1374447E-05 -.2527552E-06 0.5254683E-02 -.3794890E-05 0.1084725E-05 0.1676330E-08 0.1765162E+01 0.2936480E+01 0.1950103E+01 -.7287999E+00 -.3593461E+01 0.0000000E+00 0.2407040E+00 0.2404422E+00 0.5358719E-01 -.3756514E-01 0.3766381E+00 -.3500698E-01         10 0.2059765E-01 0.8459388E-02 0.2712311E-01 0.8737296E+00 0.1055041E+01 0.9614337E+00 -.3080975E-07 0.1676330E-08 0.0000000E+00 0.1000000E+03 0.5787512E-01 0.4838674E+00 0.1206378E+00 0.0000000E+00 0.3253069E+01 0.5677751E+01 0.2700792E+00 0.1712052E+01 0.1775842E+00 0.1262842E+01 0.2710206E+00 0.2586628E+01 -.7577060E+00 0.1563075E-01 -.3553713E-04 -.9511783E-03
    4     0.7000000 0.1769210E-01 -.1943680E-05 -.9004643E-07 0.5632859E-02 -.3794890E-05 0.1084725E-05 0.1676330E-08 0.1706668E+01 0.2753688E+01 0.1972082E+01 -.6250929E+00 -.3340661E+01 0.0000000E+00 0.2407040E+00 0.2404422E+00 0.5358856E-01 -.3756514E-01 0.3766381E+00 -.3498012E-01         10 0.2424763E-01 0.9009206E-02 0.2671101E-01 0.8737296E+00 0.1055041E+01 0.9613646E+00 -.3921232E-07 0.1676330E-08 0.0000000E+00 0.1000000E+03 0.5787512E-01 0.4799900E+00 0.1310896E+00 0.0000000E+00 0.3191242E+01 0.5307492E+01 0.2700860E+00 0.1731349E+01 0.2801209E+00 0.1650836E+01 0.1573647E+00 0.2586628E+01 -.7577060E+00 0.1563115E-01 -.9047886E-04 -.9511783E-03
    5     1.2894200 0.1769210E-01 -.4180464E-05 0.5493122E-06 0.7118885E-02 -.3794890E-05 0.1084725E-05 0.1676330E-08 0.1554357E+01 0.2056746E+01 0.2145021E+01 -.2175796E+00 -.2347292E+01 0.0000000E+00 0.2407040E+00 0.2404422E+00 0.5359393E-01 -.3756514E-01 0.3766381E+00 -.3487453E-01         10 0.2802814E-01 0.1265856E-01 0.2460298E-01 0.8737296E+00 0.1055041E+01 0.9610935E+00 -.7223004E-07 0.1676330E-08 0.0000000E+00 0.3000000E+02 0.5787512E-01 0.4492641E+00 0.1628809E+00 0.0000000E+00 0.2948296E+01 0.3852571E+01 0.2701131E+00 0.1883177E+01 0.6830356E+00 0.3175446E+01 -.2892424E+00 0.2586628E+01 -.7577060E+00 0.1563271E-01 -.7209216E-03 -.9511783E-03
    6     1.3016306 0.1769212E-01 -.4226723E-05 0.5625835E-06 0.7149665E-02 -.3772438E-05 0.1092079E-05 0.2643973E-07 0.1552680E+01 0.2042825E+01 0.2149919E+01 -.2091785E+00 -.2326786E+01 0.0000000E+00 0.2407040E+00 0.2404422E+00 0.5359408E-01 -.3756502E-01 0.3766404E+00 -.3487257E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8737292E+00 0.1055042E+01 0.9610900E+00 -.7291399E-07 0.1676241E-08 0.0000000E+00 0.3000000E+02 0.5787512E-01 0.4482077E+00 0.1000000E-04 0.0000000E+00 0.2943262E+01 0.3822431E+01 0.2701139E+00 0.1887479E+01 0.6912323E+00 0.3205828E+01 -.2988186E+00 0.2588322E+01 -.7587213E+00 0.1563276E-01 -.7409754E-03 -.9513276E-03
    6     1.3138412 0.1769221E-01 -.4272155E-05 0.5761131E-06 0.7180456E-02 -.3637178E-05 0.1132933E-05 -.5213611E-07 0.1551067E+01 0.2028930E+01 0.2154865E+01 -.2009748E+00 -.2306616E+01 0.0000000E+00 0.2407039E+00 0.2404422E+00 0.5359433E-01 -.3756473E-01 0.3766458E+00 -.3487112E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8737280E+00 0.1055045E+01 0.9610852E+00 -.7359793E-07 0.1676135E-08 0.0000000E+00 0.3000000E+02 0.5787511E-01 0.4471276E+00 0.1000000E-04 0.0000000E+00 0.2938228E+01 0.3792287E+01 0.2701151E+00 0.1891825E+01 0.6994003E+00 0.3232962E+01 -.3092166E+00 0.2592050E+01 -.7610703E+00 0.1563283E-01 -.7613441E-03 -.9516844E-03
    6     1.3260518 0.1769248E-01 -.4314284E-05 0.5905891E-06 0.7211324E-02 -.3184622E-05 0.1258017E-05 -.4837569E-06 0.1549515E+01 0.2015059E+01 0.2159858E+01 -.1933015E+00 -.2287316E+01 0.0000000E+00 0.2407039E+00 0.2404422E+00 0.5359485E-01 -.3756441E-01 0.3766433E+00 -.3487117E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8737280E+00 0.1055043E+01 0.9610747E+00 -.7428188E-07 0.1676160E-08 0.0000000E+00 0.3000000E+02 0.5787510E-01 0.4460223E+00 0.1000000E-04 0.0000000E+00 0.2933186E+01 0.3762135E+01 0.2701178E+00 0.1896222E+01 0.7077761E+00 0.3250101E+01 -.3220094E+00 0.2589301E+01 -.7597247E+00 0.1563298E-01 -.7820258E-03 -.9513117E-03
    6     1.3382624 0.1769314E-01 -.4347048E-05 0.6075247E-06 0.7242585E-02 -.2027742E-05 0.1550401E-05 -.1943276E-05 0.1548017E+01 0.2001206E+01 0.2164901E+01 -.1867571E+00 -.2269787E+01 0.0000000E+00 0.2407039E+00 0.2404420E+00 0.5359596E-01 -.3756478E-01 0.3765861E+00 -.3487446E-01         10 0.1000000E-04 0.1000000E-04 0.1000000E-04 0.8737387E+00 0.1055007E+01 0.9610418E+00 -.7496583E-07 0.1677083E-08 0.0000000E+00 0.3000000E+02 0.5787503E-01 0.4448862E+00 0.1000000E-04 0.0000000E+00 0.2928125E+01 0.3731960E+01 0.2701234E+00 0.1900685E+01 0.7176434E+00 0.3243754E+01 -.3400847E+00 0.2543359E+01 -.7329478E+00 0.1563329E-01 -.8028449E-03 -.9470110E-03
